Date,CM,RY,MFC,BB,AC,WFG,PUMA,BNS,CSU,CNR
2017-03-13,-0.003021062,-0.002255166,0.008633518,0.02578016,0.000750469,-0.007870658,-0.105360516,0.009201617,-0.003286029,0.004302513
2017-03-14,8.41082E-05,-0.001746065,-0.004102015,0.006342516,-0.010558167,0.012563265,0.105360516,-0.008442067,0.011484918,-0.01825847
2017-03-15,-0.009286671,-0.006291147,0.006554688,0.001053186,0.012806201,-0.020496381,0,-0.010302435,0.006649576,0.00581304
2017-03-16,0.002202647,0.006702045,0.000408213,0.006295928,0.026589454,-0.004262049,-0.105360516,0.002935983,-0.006929545,-0.003006221
2017-03-17,-0.004410425,-0.005668093,-0.015217074,-0.003143009,-0.01394518,-0.00249471,0.105360516,-0.008448386,0.009051091,-0.000311319
2017-03-20,-0.004429987,-0.00486901,-0.004985291,0.007318381,-0.003702337,-0.002321953,-0.105360516,-0.006448281,-0.000960852,-0.001454838
2017-03-21,-0.007369836,-0.008971355,-0.041238657,-0.026386755,-0.033952714,-0.020962298,0,-0.013285041,-0.004665542,-0.008983796
2017-03-22,-0.001808047,-0.002308131,-0.011788136,0.00320342,-0.01624794,0.004373165,-0.117783036,0.008226509,-0.000183752,0.003352305
2017-03-23,0.016324489,0.014907579,0.02000089,0.010604553,0.029967667,-0.007116005,0.117783036,0.006868108,-0.000230266,0.011541489
2017-03-24,-0.005499785,-0.000931797,0.007291411,-0.002111933,0.003023434,0.018146054,-0.117783036,0.004510067,0.001838724,0.000206898
2017-03-27,0.002323904,0.002482807,-0.000427407,0.002111933,0.021650715,-0.017048087,0,0.00742915,0.001575983,0.004228861
2017-03-28,0.008048512,0.010585453,0.011899865,-0.006349228,0.020468551,0.010915093,0.117783036,0.008260773,0.000198924,0.016940613
2017-03-29,-0.000511733,0.003775387,0.004215746,-0.006389798,-0.005805532,0.01597466,0,0.004420158,0.000244232,-0.004564018
2017-03-30,-0.029614946,-0.003264354,-0.001263021,-0.009661911,0.006528859,-0.003031764,0,0.000377967,-0.003781007,0.00233534
2017-03-31,0.007791495,-0.010064015,-0.006338153,0.105360516,-0.002171554,-0.006630448,0,0.003031764,0.002267203,-0.004472566
2017-04-03,0.010065175,-0.00103247,0.000847155,0.014458083,-0.012395346,0.001078333,-0.117783036,0.003464501,-0.002313487,-0.003162827
2017-04-04,0.000517956,0.000929191,-0.001271352,0.035718083,-0.018512191,0.003943464,0,-0.0001283,0.001547831,0.01148183
2017-04-05,-0.009275721,0.001650383,-0.011516265,-0.018639869,-0.009763502,0.001787255,0,0.000768501,-0.001946669,-0.004353585
2017-04-06,0.006510454,0.007903582,0.002998435,0.000940292,-0.003780723,0.002318775,-0.133531393,0.007778214,-0.010379975,0.005666238
2017-04-07,0.000173292,-0.005022334,-0.003427728,-0.016106459,0.000757289,0.053757849,0,-0.007906243,-0.009408511,-0.006681306
2017-04-10,-0.006509793,-0.001439586,0.002143744,-0.01637013,0.002268432,0.005555804,0,-0.005520406,0.001657668,0.009905039
2017-04-11,0,-0.003504767,-0.0073072,-0.002916871,0,0.007360433,0,-0.002448736,-0.004745536,-0.008179929
